winner_status,ad_id,country,page_name,page_url,started_on,days_running,age_band,active_status,media_type,score,cta_text,hook,ad_text,landing_domain,product_url,landing_source,video_url,video_source,ad_library_url,keyword,keyword_type,date_found
🟡 WINNER — VIDEO LINK PENDING,521104682318284,SA,,,2021-08-25,1816,🔥 180d+,ACTIVE,VIDEO,480,adobe.com توقيع إلكتروني سريع وآمن shop now,Platforms,"​ Active Library ID: 521104682318284 Started running on Aug 25, 2021 Platforms ​ ​ ​",www.adobe.com,https://www.adobe.com/mena_ar/acrobat/free-trial-download.html,Clicked CTA - new tab,,Ad Library only,https://www.facebook.com/ads/library/?id=521104682318284,جهاز,1-word,2026-08-15T00:31:58+00:00
🟡 WINNER — VIDEO LINK PENDING,1249391956667997,SA,,,2025-07-31,380,🔥 180d+,ACTIVE,VIDEO,480,adobe.com توقيع إلكتروني سريع وآمن shop now,Platforms,"​ Active Library ID: 1249391956667997 Started running on Jul 31, 2025 Platforms ​ ​ This ad has multiple versions ​",www.adobe.com,https://www.adobe.com/mena_ar/acrobat/free-trial-download.html,CTA href fallback,,Ad Library only,https://www.facebook.com/ads/library/?id=1249391956667997,جهاز,1-word,2026-08-15T00:33:07+00:00
🟡 WINNER — VIDEO LINK PENDING,1872035936711282,SA,,,2025-09-28,321,🔥 180d+,ACTIVE,VIDEO,436,adobe.com توقيع إلكتروني سريع وآمن shop now,Platforms,"​ Active Library ID: 1872035936711282 Started running on Sep 28, 2025 Platforms ​ ​ ​ ​ EU transparency ​",www.adobe.com,https://www.adobe.com/mena_ar/acrobat/free-trial-download.html,Clicked CTA - new tab,,Ad Library only,https://www.facebook.com/ads/library/?id=1872035936711282,جهاز,1-word,2026-08-15T00:32:14+00:00
🟡 WINNER — VIDEO LINK PENDING,1166907448776315,SA,,,2025-11-04,284,🔥 180d+,ACTIVE,VIDEO,399,sa.revibe.me revibe أجهزة مجددة مع shop now,Platforms,"​ Active Library ID: 1166907448776315 Started running on Nov 4, 2025 Platforms ​ ​",sa.revibe.me,https://sa.revibe.me/ar/collections/refurbished-iphones,Clicked CTA - new tab,,Ad Library only,https://www.facebook.com/ads/library/?id=1166907448776315,جهاز,1-word,2026-08-15T00:32:42+00:00
🟡 WINNER — VIDEO LINK PENDING,1188241626570548,SA,,,2025-11-18,270,🔥 180d+,ACTIVE,VIDEO,385,megadealksa.com roll your way to fitness order now,Platforms,"​ Active Library ID: 1188241626570548 Started running on Nov 18, 2025 Platforms ​ ​ ​ ​ ​ This ad has multiple versions ​",www.megadealksa.com,https://www.megadealksa.com/en/p-37,Clicked CTA - new tab,,Ad Library only,https://www.facebook.com/ads/library/?id=1188241626570548,جهاز,1-word,2026-08-15T00:32:51+00:00
🟡 WINNER — VIDEO LINK PENDING,3106044492936478,SA,,,2025-12-08,250,🔥 180d+,ACTIVE,VIDEO,365,trust.fordeal.com عرض خاص لمدة 3 أيام بمناسبة العيد الوطني order now,Platforms,"​ Active Library ID: 3106044492936478 Started running on Dec 8, 2025 Platforms ​ ​ ​ ​ ​",trust.fordeal.com,https://trust.fordeal.com/ar-SA/detail/39358581?f=p_fb.o_duoyi.g_webdan.c_cxj-39358581-1208-4-bfbx-im-93-edbx.b_2294.t_20251208-181641.v_1&wa_id=8618026275833&wa_num=3,Clicked CTA - new tab,,Ad Library only,https://www.facebook.com/ads/library/?id=3106044492936478,جهاز,1-word,2026-08-15T00:32:23+00:00
🟡 WINNER — VIDEO LINK PENDING,24722600197415300,SA,,,2025-12-30,228,🔥 180d+,ACTIVE,VIDEO,343,adobe.com توقيع إلكتروني سريع وآمن shop now,Platforms,"​ Active Library ID: 24722600197415300 Started running on Dec 30, 2025 Platforms ​ ​ ​ ​ ​",www.adobe.com,https://www.adobe.com/mena_ar/acrobat/free-trial-download.html,Clicked CTA - new tab,,Ad Library only,https://www.facebook.com/ads/library/?id=24722600197415300,جهاز,1-word,2026-08-15T00:32:45+00:00
🟡 WINNER — VIDEO LINK PENDING,903873312560624,SA,,,2026-02-17,179,🔥 90-179d,ACTIVE,VIDEO,294,sa.revibe.me revibe أجهزة مجددة مع shop now,Platforms,"​ Active Library ID: 903873312560624 Started running on Feb 17, 2026 Platforms ​ ​ ​ ​",sa.revibe.me,https://sa.revibe.me/ar,Clicked CTA - new tab,,Ad Library only,https://www.facebook.com/ads/library/?id=903873312560624,جهاز,1-word,2026-08-15T00:33:35+00:00
🟡 WINNER — VIDEO LINK PENDING,2079256132644519,SA,,,2026-02-23,173,🔥 90-179d,ACTIVE,VIDEO,288,adobe.com توقيع إلكتروني سريع وآمن shop now,Platforms,"​ Active Library ID: 2079256132644519 Started running on Feb 23, 2026 Platforms ​ ​",www.adobe.com,https://www.adobe.com/mena_ar/acrobat/free-trial-download.html,Clicked CTA - new tab,,Ad Library only,https://www.facebook.com/ads/library/?id=2079256132644519,جهاز,1-word,2026-08-15T00:33:18+00:00
🟡 WINNER — VIDEO LINK PENDING,1615053536243882,SA,,,2026-04-12,125,🔥 90-179d,ACTIVE,VIDEO,240,adobe.com توقيع إلكتروني سريع وآمن shop now,Platforms,"​ Active Library ID: 1615053536243882 Started running on Apr 12, 2026 Platforms ​ ​ ​",www.adobe.com,https://www.adobe.com/mena_ar/acrobat/free-trial-download.html,Clicked CTA - new tab,,Ad Library only,https://www.facebook.com/ads/library/?id=1615053536243882,جهاز,1-word,2026-08-15T00:33:29+00:00
🟡 WINNER — VIDEO LINK PENDING,1628195164970053,SA,,,2026-04-28,109,🔥 90-179d,ACTIVE,VIDEO,224,adobe.com توقيع إلكتروني سريع وآمن shop now,Platforms,"​ Active Library ID: 1628195164970053 Started running on Apr 28, 2026 Platforms ​ ​ ​ ​ 4 ads use this creative and text",www.adobe.com,https://www.adobe.com/mena_ar/acrobat/free-trial-download.html,Clicked CTA - new tab,,Ad Library only,https://www.facebook.com/ads/library/?id=1628195164970053,جهاز,1-word,2026-08-15T00:32:20+00:00
🟡 WINNER — VIDEO LINK PENDING,1362943888998702,SA,,,2026-05-11,96,🔥 90-179d,ACTIVE,VIDEO,211,adobe.com توقيع إلكتروني سريع وآمن shop now,Platforms,"​ Active Library ID: 1362943888998702 Started running on May 11, 2026 Platforms ​",www.adobe.com,https://www.adobe.com/mena_ar/acrobat/free-trial-download.html,CTA href fallback,,Ad Library only,https://www.facebook.com/ads/library/?id=1362943888998702,جهاز,1-word,2026-08-15T00:33:40+00:00
🟡 WINNER — VIDEO LINK PENDING,1292105296459612,SA,,,2026-05-12,95,🔥 90-179d,ACTIVE,VIDEO,210,adobe.com توقيع إلكتروني سريع وآمن shop now,Platforms,"​ Active Library ID: 1292105296459612 Started running on May 12, 2026 Platforms ​ ​ ​ ​ ​ EU transparency ​",www.adobe.com,https://www.adobe.com/mena_ar/acrobat/free-trial-download.html,Clicked CTA - new tab,,Ad Library only,https://www.facebook.com/ads/library/?id=1292105296459612,جهاز,1-word,2026-08-15T00:33:21+00:00
🟡 WINNER — VIDEO LINK PENDING,1903400253592092,SA,,,2026-05-13,94,🔥 90-179d,ACTIVE,VIDEO,209,adobe.com توقيع إلكتروني سريع وآمن shop now,Platforms,"​ Active Library ID: 1903400253592092 Started running on May 13, 2026 Platforms ​ ​ ​ ​ ​ EU transparency ​",www.adobe.com,https://www.adobe.com/mena_ar/acrobat/free-trial-download.html,Clicked CTA - new tab,,Ad Library only,https://www.facebook.com/ads/library/?id=1903400253592092,جهاز,1-word,2026-08-15T00:32:48+00:00
🟡 WINNER — VIDEO LINK PENDING,1569948108017478,SA,,,2026-05-15,92,🔥 90-179d,ACTIVE,VIDEO,207,adobe.com توقيع إلكتروني سريع وآمن shop now,Platforms,"​ Active Library ID: 1569948108017478 Started running on May 15, 2026 Platforms ​ ​ ​ ​ ​ This ad is not active for some audiences because it did not meet certain requirements. ​ EU transparency ​",www.adobe.com,https://www.adobe.com/mena_ar/acrobat/free-trial-download.html,Clicked CTA - new tab,,Ad Library only,https://www.facebook.com/ads/library/?id=1569948108017478,جهاز,1-word,2026-08-15T00:32:31+00:00
🟡 WINNER — VIDEO LINK PENDING,4612660268961659,SA,,,2026-05-20,87,🔥 60-89d,ACTIVE,VIDEO,182,adobe.com توقيع إلكتروني سريع وآمن shop now,Platforms,"​ Active Library ID: 4612660268961659 Started running on May 20, 2026 Platforms ​ ​ ​ ​ ​ 3 ads use this creative and text",www.adobe.com,https://www.adobe.com/mena_ar/acrobat/free-trial-download.html,Clicked CTA - new tab,,Ad Library only,https://www.facebook.com/ads/library/?id=4612660268961659,جهاز,1-word,2026-08-15T00:32:11+00:00
🟡 WINNER — VIDEO LINK PENDING,1451092896771243,SA,,,2026-05-22,85,🔥 60-89d,ACTIVE,VIDEO,180,adobe.com توقيع إلكتروني سريع وآمن shop now,Platforms,"​ Active Library ID: 1451092896771243 Started running on May 22, 2026 Platforms ​ ​ ​ ​ ​ This ad is not active for some audiences because it did not meet certain requirements. ​ EU transparency ​",www.adobe.com,https://www.adobe.com/mena_ar/acrobat/free-trial-download.html,Clicked CTA - new tab,,Ad Library only,https://www.facebook.com/ads/library/?id=1451092896771243,جهاز,1-word,2026-08-15T00:32:08+00:00
🟡 WINNER — VIDEO LINK PENDING,1231157648929062,SA,,,2026-05-24,83,🔥 60-89d,ACTIVE,VIDEO,178,adobe.com توقيع إلكتروني سريع وآمن shop now,Platforms,"​ Active Library ID: 1231157648929062 Started running on May 24, 2026 Platforms ​ ​ ​ ​ ​ This ad is not active for some audiences because it did not meet certain requirements. ​ EU transparency ​",www.adobe.com,https://www.adobe.com/mena_ar/acrobat/free-trial-download.html,Clicked CTA - new tab,,Ad Library only,https://www.facebook.com/ads/library/?id=1231157648929062,جهاز,1-word,2026-08-15T00:32:17+00:00
🟡 WINNER — VIDEO LINK PENDING,26327735200235162,SA,,,2026-06-11,65,🔥 60-89d,ACTIVE,VIDEO,160,adobe.com توقيع إلكتروني سريع وآمن shop now,Platforms,"​ Active Library ID: 26327735200235162 Started running on Jun 11, 2026 Platforms ​ ​ ​ ​ This ad has multiple versions ​",www.adobe.com,https://www.adobe.com/mena_ar/acrobat/free-trial-download.html,Clicked CTA - new tab,,Ad Library only,https://www.facebook.com/ads/library/?id=26327735200235162,جهاز,1-word,2026-08-15T00:32:01+00:00
🟡 WINNER — VIDEO LINK PENDING,1294020552817777,SA,,,2026-06-11,65,🔥 60-89d,ACTIVE,VIDEO,160,adobe.com قم بأي تعديل أثناء التنقل shop now,Platforms,"​ Active Library ID: 1294020552817777 Started running on Jun 11, 2026 Platforms ​ ​ ​ ​ This ad has multiple versions ​",www.adobe.com,https://www.adobe.com/mena_ar/acrobat/free-trial-download.html,Clicked CTA - new tab,,Ad Library only,https://www.facebook.com/ads/library/?id=1294020552817777,جهاز,1-word,2026-08-15T00:32:04+00:00
🟡 WINNER — VIDEO LINK PENDING,1489607899845258,SA,,,2026-06-19,57,🔥 30-59d,ACTIVE,VIDEO,132,adobe.com توقيع إلكتروني سريع وآمن shop now,Platforms,"​ Active Library ID: 1489607899845258 Started running on Jun 19, 2026 Platforms ​ ​ ​ ​ ​ EU transparency ​",www.adobe.com,https://www.adobe.com/mena_ar/acrobat/free-trial-download.html,Clicked CTA - new tab,,Ad Library only,https://www.facebook.com/ads/library/?id=1489607899845258,جهاز,1-word,2026-08-15T00:33:14+00:00
🟡 WINNER — VIDEO LINK PENDING,1032880575864436,SA,,,2026-06-20,56,🔥 30-59d,ACTIVE,VIDEO,131,adobe.com توقيع إلكتروني سريع وآمن shop now,Platforms,"​ Active Library ID: 1032880575864436 Started running on Jun 20, 2026 Platforms ​ ​ ​ 2 ads use this creative and text",www.adobe.com,https://www.adobe.com/mena_ar/acrobat/free-trial-download.html,Clicked CTA - new tab,,Ad Library only,https://www.facebook.com/ads/library/?id=1032880575864436,جهاز,1-word,2026-08-15T00:33:11+00:00
🟡 WINNER — VIDEO LINK PENDING,1341888654581369,SA,,,2026-07-02,44,🔥 30-59d,ACTIVE,VIDEO,119,sa.revibe.me mahmoud.fero shop now,Platforms,"​ Active Library ID: 1341888654581369 Started running on Jul 2, 2026 Platforms ​ ​ ​ ​",sa.revibe.me,https://sa.revibe.me/ar,Clicked CTA - new tab,,Ad Library only,https://www.facebook.com/ads/library/?id=1341888654581369,جهاز,1-word,2026-08-15T00:32:36+00:00
🟡 WINNER — VIDEO LINK PENDING,1293027309576090,SA,,,2026-07-06,40,🔥 30-59d,ACTIVE,VIDEO,115,adobe.com توقيع إلكتروني سريع وآمن shop now,Platforms,"​ Active Library ID: 1293027309576090 Started running on Jul 6, 2026 Platforms ​ ​ ​ ​ ​ EU transparency ​",www.adobe.com,https://www.adobe.com/mena_ar/acrobat/free-trial-download.html,Clicked CTA - new tab,,Ad Library only,https://www.facebook.com/ads/library/?id=1293027309576090,جهاز,1-word,2026-08-15T00:32:27+00:00
🟡 WINNER — VIDEO LINK PENDING,900661039129254,SA,,,2026-07-17,29,✅ 14-29d,ACTIVE,VIDEO,84,adobe.com توقيع إلكتروني سريع وآمن shop now,Platforms,"​ Active Library ID: 900661039129254 Started running on Jul 17, 2026 Platforms ​ ​ ​ ​ ​ This ad is not active for some audiences because it did not meet certain requirements. ​ EU transparency ​",www.adobe.com,https://www.adobe.com/mena_ar/acrobat/free-trial-download.html,Clicked CTA - new tab,,Ad Library only,https://www.facebook.com/ads/library/?id=900661039129254,جهاز,1-word,2026-08-15T00:32:55+00:00
🟡 WINNER — VIDEO LINK PENDING,2213183865891791,SA,,,2026-07-29,17,✅ 14-29d,ACTIVE,VIDEO,72,sa.revibe.me muhannaddesign shop now,Platforms,"​ Active Library ID: 2213183865891791 Started running on Jul 29, 2026 Platforms ​ ​ ​ ​",sa.revibe.me,https://sa.revibe.me/ar,Clicked CTA - new tab,,Ad Library only,https://www.facebook.com/ads/library/?id=2213183865891791,جهاز,1-word,2026-08-15T00:33:04+00:00
